data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
6925766,152,CHI2391,2391,2019-11-26,2019,1,Riots,Violent demonstration,Rioters (Chile),,5,Police Forces of Chile (2018-),Civilians (Chile); Labour Group (Chile); Government of Chile (2018-); Journalists (Chile),1,15,South America,Chile,Valparaiso,San Antonio,San Antonio,San Antonio,-33.5947,-71.6075,1,Lider San Antonio; Estrella Iquique,Subnational-National,"On 26 November 2019, in San Antonio, Valparaiso region, the building of a local newspaper was vandalized by an undetermined number of rioters during a demonstration. The group set on fire the facilities and used the furniture to built barricades on the streets. Police Forces of Chile and groups of rioters clashed with demonstrators, who vandalized and set on fire municipal offices and a pension agency in the district. The event happened during several weeks of a political and social crisis in the country. [size=no report]",0,1582839776,CHL
6957002,152,CHI2378,2378,2019-11-26,2019,1,Riots,Violent demonstration,Rioters (Chile),,5,Police Forces of Chile (2018-),,1,15,South America,Chile,Metropolitana,Santiago,Maipu,Maipu,-33.5142,-70.7651,1,La Tercera (Chile),National,"On 26 November 2019, in Maipu, Metropolitan region, groups of demonstrators built barricades across the streets of the district. The event happened during several weeks of a political and social crisis in the country. Police Forces of Chile dispersed the group. [size=no report]",0,1582840323,CHL
7066316,152,CHI2399,2399,2019-11-26,2019,1,Protests,Peaceful protest,Protesters (Chile),Students (Chile),6,,,0,60,South America,Chile,Araucania,Cautin,Temuco,Temuco,-38.7397,-72.5984,1,Austral Temuco,Subnational,"On 26 November 2019, in Temuco (Araucania), students of the Temuco's Catholic University set 107 pairs of shoes outside the educational facility as a symbolic protest to remember the victims of the demonstrations against the government in the last weeks. They were also representing those senior adults who could not participate in the said protests. [size=no report]",0,1587491658,CHL
6998989,152,CHI2397,2397,2019-11-26,2019,1,Riots,Violent demonstration,Rioters (Chile),MUS: Social Unit Movement,5,Police Forces of Chile (2018-),Civilians (Chile); Government of Chile (2018-),1,15,South America,Chile,Metropolitana,Santiago,Santiago Centro,Santiago,-33.4569,-70.6483,1,La Tercera (Chile),National,"On 26 November 2019, in Santiago (Metropolitana), citizens demonstrated over general discontent with the government. In the demonstrations organized by the MUS, the group's demands include improvements in education, healthcare and pension policies, among other things. Groups of rioters attacked the metro stations located in the center of the city, leading Police forces to disperse groups of demonstrators with water hoses. One police official was injured. [size=no report]",0,1585003600,CHL
6957007,152,CHI2387,2387,2019-11-26,2019,1,Riots,Violent demonstration,Rioters (Chile),,5,Police Forces of Chile (2018-),,1,15,South America,Chile,Metropolitana,Cordillera,Puente Alto,Puente Alto,-33.6183,-70.5899,1,La Tercera (Chile),National,"On 26 November 2019, in Puente Alto, Metropolitan region, groups of demonstrators built barricades across the streets of the district. The event happened during several weeks of a political and social crisis in the country. Police Forces of Chile dispersed the group. [size=no report]",0,1582840323,CHL
6998991,152,CHI2403,2403,2019-11-26,2019,1,Riots,Violent demonstration,Rioters (Chile),ANEF: National Association of Tax Employees; CUT: The Workers' United Center of Chile; Labour Group (Chile),5,Civilians (Chile),Government of Chile (2018-); Labour Group (Chile),7,57,South America,Chile,Valparaiso,Valparaiso,Valparaiso,Valparaiso,-33.0360,-71.6296,1,La Tercera (Chile),National,"On 26 November 2019, in Valparaiso (Valparaiso) more than 7,000 citizens and workers affiliated to the ANEF and CUT demonstrated over a general discontent with the government. The group demanded improvements in education, healthcare and pension policies, among other things. Rioters built barricades across the city and vandalized several stores stores during the afternoon, including the office of the president of the Chamber of Deputies. [size=more than 7,000]",0,1585003600,CHL
6954961,152,CHI2382,2382,2019-11-26,2019,1,Protests,Protest with intervention,Protesters (Chile),,6,Police Forces of Chile (2018-),,1,16,South America,Chile,Metropolitana,Talagante,Padre Hurtado,Padre Hurtado,-33.5696,-70.8163,1,La Nacion (Chile),National,"On 26 November 2019, in Padre Hurtado, Metropolitan region, housing activists protested over housing issues. The group demands government intervention to stimulate house ownership in the city. Police Forces of Chile dispersed the group when protesters blocked the streets for several hours. [size=no report]",0,1582840241,CHL
6938068,152,CHI12,12,2019-11-26,2019,1,Protests,Peaceful protest,Protesters (Chile),Labour Group (Chile); Teachers (Chile),6,,,0,60,South America,Chile,Atacama,Chanaral,Chanaral,Chanaral,-26.3401,-70.6169,1,El Diario de Atacama,Subnational,"On 26 November 2019, in Chanaral, Atacama region, people demonstrated peacefully by blocking different routes and access to the city. One of the routes, to Pan de Azucar, was blocked by port workers and professors who set up takes and served a large breakfast. [size=no report]",0,1582839942,CHL
7066583,152,CHI2360,2360,2019-11-26,2019,1,Protests,Peaceful protest,Protesters (Chile),,6,,,0,60,South America,Chile,Atacama,Huasco,Freirina,Freirina,-28.5121,-71.0797,2,Chanarcillo,Subnational,"On 26 November 2019, in the rural area of Freirina, Atacama region, citizens protested over general discontent with the government. The protesters' demands include reforms in education, healthcare and pension policies, among other things. The group blocked the road for several hours. [size=no report]",0,1587491660,CHL
7066328,152,CHI2373,2373,2019-11-26,2019,2,Protests,Peaceful protest,Protesters (Chile),Government of Chile (2018-); Mapuche Indigenous Group (Chile),6,,,0,60,South America,Chile,Araucania,Cautin,Lautaro,Lautaro,-38.5307,-72.4365,1,Austral Temuco,Subnational,"As reported on 26 November 2019, in Lautaro (Araucania), Mapuche indigenous people, together with the mayor of the city, marched in protest against the construction of a waste dump in their community. [size=no report]",0,1587491658,CHL
